date,time,hT,hRH,hLW
8/12/2002,0,28.63,27.89,0.002
8/12/2002,100,25.45,41.38,0.002
8/12/2002,200,23.34,50.76,0.002
8/12/2002,300,21.92,51.53,0.002
8/12/2002,400,21.14,53.92,0.002
8/12/2002,500,20.55,56.21,0.003
8/12/2002,600,19.85,60.76,0.006
8/12/2002,700,19.06,65.65,0.011
8/12/2002,800,19.59,70.7,0.014
8/12/2002,900,25.28,61.99,0.002
8/12/2002,1000,28.39,52.1,7.29
8/12/2002,1100,28.81,52.08,0.328
8/12/2002,1200,32.52,41.92,0.113
8/12/2002,1300,35.98,33.81,0.002
8/12/2002,1400,38.46,31.03,0.002
8/12/2002,1500,40.02,28.55,0.002
8/12/2002,1600,40.56,26.53,0.002
8/12/2002,1700,41,24.11,0.002
8/12/2002,1800,40.81,23.07,0.002
8/12/2002,1900,38.83,23.07,0.002
8/12/2002,2000,35.32,27.99,0.002
8/12/2002,2100,31.59,27.49,0.002
8/12/2002,2200,28.14,35.39,0.006
8/12/2002,2300,25.09,43.29,0.025
8/13/2002,0,26.03,39.42,0.004
8/13/2002,100,23.31,45.75,0.057
8/13/2002,200,21.5,52.32,0.17
8/13/2002,300,21.05,58.15,0.2
8/13/2002,400,20.82,58.79,0.239
8/13/2002,500,20.26,60.11,0.293
8/13/2002,600,19.96,65.02,0.689
8/13/2002,700,20.24,67.14,0.742
8/13/2002,800,22.6,68.24,0.146
8/13/2002,900,27.56,52.54,0.002
8/13/2002,1000,31.88,40.45,0.002
8/13/2002,1100,34.73,33.76,0.272
8/13/2002,1200,36.42,29.91,0
8/13/2002,1300,37.32,26.81,0
8/13/2002,1400,38.84,27.73,0
8/13/2002,1500,40.35,25.22,0
8/13/2002,1600,41.27,24.38,0
8/13/2002,1700,41.18,22.97,0
8/13/2002,1800,40.02,20.03,0
8/13/2002,1900,38.11,20.61,0
8/13/2002,2000,35.48,20.48,0
8/13/2002,2100,32.55,22.91,0
8/13/2002,2200,30.91,26.33,0.001
8/13/2002,2300,30,28.11,0.002
8/14/2002,0,28.31,31.67,0.008
8/14/2002,100,24.14,41.95,0.014
8/14/2002,200,22.2,52.35,0.067
8/14/2002,300,21.25,55.29,0.072
8/14/2002,400,20.21,59.9,0.087
8/14/2002,500,19.26,61.33,0.101
8/14/2002,600,18.71,67.77,0.236
